id,team_id,timestamp,temperature,humidity,illumination
42025,1,2024-11-11 14:00:02.656739,5,5,5
42026,1,2024-11-14 13:03:40.164079,5,5,5
42027,5,2024-11-26 12:21:32.271145,30.01,37,1675
42028,4,2024-11-26 12:26:47,23.6,44,22.5
42029,6,2024-11-26 12:22:05,24.06,25,262
42030,5,2024-11-26 12:22:32.271151,30.09,37,1662
42031,4,2024-11-26 12:27:47,23.7,43.8,22.5
42032,6,2024-11-26 12:23:05,24.06,25,252
42033,5,2024-11-26 12:23:32.27117,30.14,37,1685
42034,4,2024-11-26 12:28:47,23.7,44,25.8
42035,6,2024-11-26 12:24:05,24.06,24,243
42036,5,2024-11-26 12:24:32.271107,30.17,37,1668
42037,4,2024-11-26 12:29:47,23.7,44,26.7
42038,6,2024-11-26 12:25:05,24.12,24,249
42039,5,2024-11-26 12:25:32.271119,30.17,37,1662
42040,4,2024-11-26 12:30:47,23.7,44,25.8
42041,6,2024-11-26 12:26:05,24.12,25,190
42042,5,2024-11-26 12:26:32.271152,30.15,37,1677
42043,4,2024-11-26 12:31:47,23.7,44.1,24.2
42044,6,2024-11-26 12:27:05,24.12,24,255
42045,5,2024-11-26 12:27:32.271193,30.18,37,1665
42046,4,2024-11-26 12:32:47,23.7,44,23.3
42047,6,2024-11-26 12:28:05,24.12,25,207
42048,5,2024-11-26 12:28:32.271146,30.12,37,1658
42049,4,2024-11-26 12:33:47,23.8,43.9,24.2
42050,6,2024-11-26 12:29:05,24.12,24,247
42051,5,2024-11-26 12:29:32.271081,30.16,37,1663
42052,4,2024-11-26 12:34:47,23.8,43.8,15.8
42053,6,2024-11-26 12:30:05,24.12,24,236
42054,5,2024-11-26 12:30:32.271138,30.23,37,1666
42055,4,2024-11-26 12:35:47,23.7,43.8,23.3
42056,6,2024-11-26 12:31:05,24.12,25,232
42057,5,2024-11-26 12:31:32.271239,30.19,37,1668
42058,4,2024-11-26 12:36:47,23.7,43.8,24.2
42059,6,2024-11-26 12:32:05,24.12,25,202
42060,5,2024-11-26 12:32:32.271082,30.18,37,1664
42061,4,2024-11-26 12:37:47,23.8,43.8,24.2
42062,6,2024-11-26 12:33:05,24.12,25,194
42063,5,2024-11-26 12:33:32.271079,30.17,37,1675
42064,4,2024-11-26 12:38:47,23.7,43.8,24.2
42065,6,2024-11-26 12:34:05,24.12,25,218
42066,5,2024-11-26 12:34:32.27111,30.17,37,1675
42067,4,2024-11-26 12:39:47,23.7,43.8,22.5
42068,6,2024-11-26 12:35:05,24.19,24,227
42069,5,2024-11-26 12:35:32.270944,30.14,37,1677
42070,4,2024-11-26 12:40:47,23.8,43.8,22.5
42071,6,2024-11-26 12:36:05,24.12,25,232
42072,5,2024-11-26 12:36:32.272856,30.12,37,1682
42073,4,2024-11-26 12:41:47,23.8,43.7,20.8
42074,6,2024-11-26 12:37:05,24.19,25,222
42075,5,2024-11-26 12:37:32.271015,30.17,37,1667
42076,4,2024-11-26 12:42:47,23.8,43.6,5
42077,6,2024-11-26 12:38:05,24.19,25,225
42078,5,2024-11-26 12:38:32.271065,30.12,37,1680
42079,4,2024-11-26 12:43:47,23.8,43.6,12.5
42080,6,2024-11-26 12:39:05,24.19,25,176
42081,5,2024-11-26 12:39:32.529169,30.15,37,1683
42082,4,2024-11-26 12:44:47,23.8,43.5,3.3
42083,6,2024-11-26 12:40:05,24.19,25,217
42084,5,2024-11-26 12:40:32.529223,30.1,37.7,1684
42085,4,2024-11-26 12:45:47,23.8,43.6,20
42086,6,2024-11-26 12:41:05,24.19,25,213
42087,5,2024-11-26 12:41:32.529359,30.07,37,1676
42088,4,2024-11-26 12:46:47,23.8,43.5,20.8
42089,6,2024-11-26 12:42:05,24.19,25,159
42090,5,2024-11-26 12:42:32.529129,30.04,37.8,583
42091,4,2024-11-26 12:47:47,23.8,43.6,20.8
42092,6,2024-11-26 12:43:05,24.19,25,124
42093,5,2024-11-26 12:43:32.529233,29.99,37.3,32
42094,4,2024-11-26 12:48:47,23.8,43.6,20.8
42095,6,2024-11-26 12:44:05,24.19,25,182
42096,5,2024-11-26 12:44:32.529196,29.98,38,30
42097,4,2024-11-26 12:49:47,23.8,43.6,20
42098,6,2024-11-26 12:45:05,24.19,25,209
42099,5,2024-11-26 12:45:32.529273,30.02,37.8,22
42100,4,2024-11-26 12:50:47,23.8,43.7,19.2
